Sequence,Ciphertext_Entropy,IV_Length,IV_Entropy,Exec_Time,Secure
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.677,16,7.558,0.504,0
Cipher.getInstance -> Cipher.doFinal,6.799,0,7.09,0.386,0
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.87,12,7.893,0.968,1
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.861,12,7.996,1.188,1
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.939,12,7.926,1.955,1
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.873,16,7.804,0.758,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.899,12,7.913,0.71,1
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.958,12,7.904,1.667,1
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.984,16,7.853,1.032,1
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.414,16,2.514,1.498,0
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.669,16,7.734,1.038,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.924,16,7.951,1.421,1
Cipher.getInstance -> Cipher.doFinal,7.423,0,1.178,0.21,0
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.86,12,7.919,1.775,1
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.908,12,7.874,2.382,1
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.632,16,7.855,0.877,0
Cipher.getInstance -> Cipher.doFinal,6.472,16,2.013,0.103,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.176,0,0.0,1.133,0
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.739,16,3.564,1.383,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.669,0,0.0,0.966,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.071,0,0.0,1.106,0
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.96,12,7.838,1.506,1
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.91,12,7.982,1.901,1
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.176,16,2.664,1.123,0
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.902,16,7.885,1.551,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.851,16,7.962,1.621,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.878,12,7.986,2.281,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,8.0,16,7.956,1.358,1
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.98,12,7.854,1.633,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.901,16,7.923,1.939,1
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.96,16,7.895,1.638,1
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.48,16,3.555,1.797,0
Cipher.getInstance -> Cipher.doFinal,7.64,16,6.394,0.227,0
Cipher.getInstance -> Cipher.doFinal,5.346,0,6.225,0.283,0
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.8,16,7.581,1.734,0
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.138,16,4.099,1.299,0
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.781,16,2.24,1.378,0
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.93,12,7.894,1.45,1
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.878,16,7.864,2.072,1
Cipher.getInstance -> Cipher.doFinal,5.889,16,4.029,0.39,0
Cipher.getInstance -> Cipher.doFinal,5.527,16,2.207,0.291,0
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.971,16,7.844,1.412,1
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.505,16,7.536,1.344,0
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.231,16,2.626,1.825,0
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.996,16,7.87,1.374,1
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.103,16,3.326,1.78,0
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.778,16,3.333,1.52,0
Cipher.getInstance -> Cipher.doFinal,7.479,16,4.406,0.187,0
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.948,16,7.915,0.758,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.922,16,7.836,1.588,1
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.958,16,7.947,1.149,1
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.528,16,2.472,0.682,0
Cipher.getInstance -> Cipher.doFinal,7.135,0,5.678,0.2,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.858,12,7.931,1.015,1
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.865,16,7.863,1.435,1
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.33,16,1.92,1.147,0
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.757,16,7.587,1.496,0
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.763,16,7.777,0.552,0
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.695,16,4.14,1.284,0
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.724,16,4.338,1.235,0
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.927,16,7.954,1.187,1
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.891,16,7.961,0.992,1
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.739,16,2.755,1.431,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.954,12,7.888,1.682,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.303,0,0.0,0.784,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.326,0,0.0,1.451,0
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.851,12,7.945,1.591,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.004,0,0.0,1.409,0
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.581,16,7.625,0.73,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.885,12,7.94,1.272,1
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.727,16,7.601,0.731,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.872,12,7.98,0.638,1
Cipher.getInstance -> Cipher.doFinal,6.18,0,0.809,0.393,0
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.876,16,7.938,1.438,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.88,16,7.895,0.947,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.905,16,7.948,1.241,1
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.19,16,2.074,0.911,0
Cipher.getInstance -> Cipher.doFinal,7.237,16,0.442,0.479,0
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.574,16,7.86,0.576,0
Cipher.getInstance -> Cipher.doFinal,6.495,0,2.676,0.15,0
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.977,16,7.813,0.527,1
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.946,16,7.945,1.67,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.99,12,7.943,2.06,1
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.997,16,7.934,1.971,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.962,16,7.845,1.833,1
Cipher.getInstance -> Cipher.doFinal,5.765,16,0.881,0.132,0
Cipher.getInstance -> Cipher.doFinal,6.814,16,1.973,0.223,0
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.876,16,7.973,0.89,1
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.702,16,7.97,0.965,0
Cipher.getInstance -> Cipher.doFinal,5.079,16,2.505,0.108,0
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.525,16,7.757,1.964,0
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.951,16,7.923,1.722,1
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.986,12,7.996,2.358,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.11,0,0.0,1.237,0
Cipher.getInstance -> Cipher.doFinal,7.306,16,6.27,0.233,0
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.138,16,2.475,1.537,0
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.9,16,7.825,0.618,1
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.486,16,1.956,1.723,0
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.883,12,7.989,1.388,1
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.992,16,7.908,0.849,1
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.96,16,7.876,2.435,1
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.848,16,7.909,1.669,0
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.957,16,7.902,1.372,1
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.732,16,7.777,0.767,0
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.93,16,7.901,1.242,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.892,12,7.924,1.122,1
Cipher.getInstance -> Cipher.doFinal,6.386,16,1.857,0.482,0
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.971,16,7.904,0.629,1
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.911,16,7.872,2.085,1
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.896,12,7.922,2.473,1
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.878,16,7.649,1.619,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.774,0,0.0,0.353,0
Cipher.getInstance -> Cipher.doFinal,5.143,16,7.804,0.491,0
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.535,16,2.831,1.712,0
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.983,16,7.874,2.141,1
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.964,16,7.965,1.66,1
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.915,12,7.88,1.76,1
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.931,12,7.949,1.647,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.942,16,7.927,1.795,1
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.556,16,7.735,0.966,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.982,12,7.988,0.852,1
Cipher.getInstance -> Cipher.doFinal,6.611,0,7.252,0.278,0
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.962,12,7.982,1.313,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.916,16,7.896,1.548,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.87,16,7.982,1.87,1
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.95,16,7.846,1.194,1
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.857,12,7.893,0.97,1
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.012,16,1.653,0.734,0
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.398,16,2.555,0.558,0
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.952,12,7.984,2.218,1
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.96,12,7.897,1.407,1
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.931,12,7.815,1.121,1
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.748,16,7.776,0.953,0
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.98,12,7.814,1.071,1
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.623,16,7.704,1.433,0
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.853,16,7.984,1.533,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.333,0,0.0,1.391,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.959,16,7.859,0.619,1
Cipher.getInstance -> Cipher.doFinal,7.021,0,0.522,0.283,0
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.992,16,7.942,2.121,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.914,12,7.939,1.737,1
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.74,16,7.717,1.172,0
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.604,16,7.712,1.466,0
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.853,12,7.872,0.965,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.901,12,7.805,1.728,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.802,0,0.0,0.848,0
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.059,16,3.37,1.804,0
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.928,12,7.922,0.974,1
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.942,12,7.913,1.492,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.969,16,7.803,1.593,1
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.978,12,7.8,1.407,1
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.593,16,3.524,1.418,0
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.868,16,7.982,1.538,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.954,16,7.866,0.699,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.479,0,0.0,0.598,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.185,0,0.0,0.971,0
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.994,16,7.967,0.742,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.854,12,7.843,1.459,1
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.877,12,7.975,2.102,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.049,0,0.0,0.867,0
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.941,12,7.89,0.588,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.933,16,7.967,1.885,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.882,12,7.83,2.338,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.975,16,7.888,1.835,1
Cipher.getInstance -> Cipher.doFinal,7.84,16,3.653,0.226,0
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.962,16,7.81,1.171,1
Cipher.getInstance -> Cipher.doFinal,6.263,16,5.326,0.451,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.954,0,0.0,0.359,0
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.872,12,7.929,0.547,1
Cipher.getInstance -> Cipher.doFinal,5.791,16,3.672,0.282,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.114,0,0.0,1.067,0
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.68,16,3.779,0.667,0
Cipher.getInstance -> Cipher.doFinal,5.082,16,6.354,0.33,0
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.929,12,7.917,1.287,1
Cipher.getInstance -> Cipher.doFinal,6.888,16,3.571,0.49,0
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.51,16,7.973,1.483,0
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.67,16,2.935,1.989,0
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.863,16,7.868,1.132,1
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.99,12,7.973,0.98,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.817,0,0.0,0.92,0
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.988,16,7.949,1.937,1
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.996,16,7.932,1.675,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.846,0,0.0,0.912,0
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.599,16,7.78,0.981,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.852,16,7.929,1.852,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.409,0,0.0,0.765,0
Cipher.getInstance -> Cipher.doFinal,5.735,0,1.489,0.343,0
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.974,16,7.884,1.158,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.293,0,0.0,0.326,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.225,0,0.0,0.969,0
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.961,12,7.81,1.211,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.976,0,0.0,0.924,0
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.974,12,7.885,1.285,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.965,16,7.92,2.197,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.886,16,7.818,0.514,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.862,16,7.98,1.622,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.281,0,0.0,1.013,0
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.667,16,7.548,1.655,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.786,0,0.0,0.535,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.855,16,7.822,0.661,1
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.85,16,7.904,2.117,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.986,12,7.973,1.303,1
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.067,16,3.116,1.4,0
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.921,16,7.969,1.429,1
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.39,16,1.851,1.058,0
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.906,16,7.993,0.742,1
Cipher.getInstance -> Cipher.doFinal,7.297,16,0.551,0.326,0
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.972,16,8.0,1.14,1
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.713,16,7.6,1.361,0
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.915,16,7.929,1.016,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.917,16,7.84,0.834,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.916,12,7.822,0.874,1
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.662,16,7.855,1.042,0
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.914,16,7.874,2.422,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.159,0,0.0,0.912,0
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.879,12,7.849,0.763,1
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.664,16,7.754,1.288,0
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.976,12,7.81,2.237,1
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.247,16,3.337,1.234,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.907,0,0.0,0.554,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.216,0,0.0,0.445,0
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.987,12,7.814,2.153,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.976,12,7.912,0.506,1
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.701,16,7.66,1.639,0
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.852,12,7.87,2.268,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.91,16,7.952,0.866,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.965,16,7.843,0.555,1
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.921,12,7.898,2.038,1
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.928,12,7.91,1.397,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.973,12,7.973,1.034,1
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.925,12,7.951,0.626,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.92,12,7.909,0.619,1
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.85,16,7.507,1.022,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.559,0,0.0,0.392,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.887,12,7.944,2.343,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.752,0,0.0,0.953,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.998,12,7.987,0.539,1
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.97,16,7.815,0.827,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.952,16,7.969,1.506,1
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.956,12,7.851,1.781,1
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.485,16,4.246,0.469,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.562,0,0.0,0.415,0
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.892,12,7.804,1.938,1
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.598,16,7.808,0.866,0
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.966,12,7.901,2.163,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.052,0,0.0,1.152,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.857,16,7.816,1.671,1
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.676,16,7.925,1.745,0
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.608,16,7.58,1.594,0
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.882,12,7.892,0.963,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.942,16,7.912,1.908,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.883,12,7.991,2.106,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.729,0,0.0,1.395,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.237,0,0.0,0.612,0
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.513,16,7.533,0.868,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.677,0,0.0,0.55,0
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.621,16,2.763,1.539,0
Cipher.getInstance -> Cipher.doFinal,5.742,16,2.092,0.171,0
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.881,16,7.813,0.528,1
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.958,12,7.981,2.387,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.948,16,7.981,1.792,1
Cipher.getInstance -> Cipher.doFinal,5.644,0,7.229,0.195,0
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.898,16,7.893,0.542,1
Cipher.getInstance -> Cipher.doFinal,5.571,0,5.199,0.232,0
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.431,16,2.944,0.745,0
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.915,12,7.981,1.519,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.866,16,7.909,1.309,1
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.853,16,7.944,1.03,1
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.921,16,7.99,1.781,1
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.984,12,7.811,2.33,1
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.616,16,7.814,1.96,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.998,12,7.994,0.505,1
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.896,16,7.999,2.435,1
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.88,12,7.886,1.954,1
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.92,16,7.945,2.25,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.992,12,7.814,0.979,1
Cipher.getInstance -> Cipher.doFinal,7.108,16,5.33,0.408,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.137,0,0.0,0.815,0
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.961,12,7.905,1.402,1
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.976,12,7.903,1.851,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.991,12,7.86,2.453,1
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.978,16,7.988,0.724,1
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.069,16,2.941,1.133,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.908,16,7.919,1.905,1
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.869,16,7.813,0.712,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.991,0,0.0,1.387,0
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.659,16,4.369,0.811,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.884,16,7.874,1.904,1
